Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.03343536397439398,0.054137434724664146,1.6929609747553152e-05,7.046830109361506e-05,1.0469942025418531e-06,4.771755471794185e-06,1.0346580153695845e-07,9.351842144797725e-07,0.0001028228209428313,0.01780884134732605,2.0426279819565123e-06,0.00035378175125633113,0.2530719868752514
0.2,1,3,0.2,0.009623668995442076,0.015625063460241506,5.370566579786708e-06,2.9120827116629194e-05,2.1697719023215185e-07,9.83849112571434e-07,1.0228364946614845e-07,9.35121201435868e-07,0.00010282161118874542,0.017808631818756613,2.0426282727255907e-06,0.00035378180161734776,0.043136490859173496
0.2,1,5,0.2,0.0014790915916696333,0.0024281594595265688,2.2485140734267524e-06,1.1577308176965312e-05,4.364493297135999e-08,1.96805122001291e-07,1.0206593692654008e-07,9.351098499187582e-07,0.00010282128590620093,0.017808575480045295,2.0426282657861542e-06,0.0003537818004154427,0.008568991330110173
0.2,1,7,0.2,6.168289761292177e-05,0.00011324374748511445,4.3820599257375627e-07,2.1968295040638436e-06,8.31241242155932e-09,3.7268022467948315e-08,1.020561851512334e-07,9.351095066100015e-07,0.0001028212427419243,0.01780856800402249,2.042628241747236e-06,0.00035378179625191874,0.0017082606047801917
0.2,1,9,0.2,3.911175144431298e-05,6.761007560740495e-05,3.57552805765073e-08,1.6687766520896707e-07,1.4838724492982832e-09,6.606977414144342e-09,1.0206343093017076e-07,9.351099395131822e-07,0.00010282124417323064,0.017808568251923756,2.0426282323273974e-06,0.00035378179462040925,0.0003349079736226953
0.2,1,11,0.2,1.2480227601382136e-05,2.05925949607888e-05,8.131338023153049e-09,4.819131913316732e-08,2.4994670397566715e-10,1.1013700527485234e-09,1.02066171286701e-07,9.351101052694214e-07,0.00010282124654381004,0.017808568662506467,2.042628229883808e-06,0.0003537817941971812,6.587085732079765e-05
0.2,1,13,0.2,1.8618486970580925e-06,3.0956923708913564e-06,3.843073749161625e-09,2.1236514203409884e-08,4.076929255954635e-11,1.7652693206932774e-10,1.020667147275533e-07,9.351101370638508e-07,0.00010282124722274844,0.01780856878009813,2.0426282293906397e-06,0.0003537817941117648,1.3084441496186124e-05
0.2,1,15,0.2,6.044258597247094e-08,1.1088546791881981e-07,8.213427250278188e-10,4.527899329781482e-09,6.702937432461547e-12,2.822853482540265e-11,1.020667676783302e-07,9.351101329126107e-07,0.00010282124733458736,0.01780856879946855,2.0426282293075034e-06,0.00035378179409736567,2.625709531457401e-06
0.2,1,17,0.2,7.721363987887575e-08,1.30735443804042e-07,9.159822577840157e-11,5.253007057115511e-10,1.1399415862553054e-12,4.628288719074267e-12,1.020667617110727e-07,9.351101368123716e-07,0.00010282124734176157,0.01780856880071112,2.0426282292946183e-06,0.000353781794095134,5.32367703281107e-07
