Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.029386550368233646,0.04758172973857455,3.043425341175992e-05,0.00013547905156492245,1.2156745496590153e-06,5.545837431374058e-06,1.0381475089130253e-07,9.352030572451029e-07,0.00010282298549586827,0.01780886984779749,2.0426278100548018e-06,0.0003537817214830539,0.3361707278215632
0.2,1,3,0.2,0.011788541818930768,0.019119919874494684,2.783071056403294e-06,1.6533681864121588e-05,3.13360137350379e-07,1.4239688253412036e-06,1.0254155786689999e-07,9.351350525886255e-07,0.00010282190971346004,0.01780868352303036,2.0426282177368055e-06,0.00035378179209332665,0.06821727226715738
0.2,1,5,0.2,0.0029341390392469482,0.004782154907253755,2.987982991958747e-06,1.5716892435768334e-05,7.98788393361302e-08,3.61339360364346e-07,1.021383778755516e-07,9.351136449741538e-07,0.00010282140217818874,0.017808595618273016,2.0426282693216685e-06,0.0003537818010277912,0.01661832833688051
0.2,1,7,0.2,0.0004609868999588755,0.000765758672375938,1.0556279842633478e-06,5.39961737975464e-06,1.9785745346025232e-08,8.90834043397416e-08,1.0206283491982337e-07,9.351097859346811e-07,0.00010282126648255831,0.017808572115883853,2.0426282521048967e-06,0.0003537817980458584,0.004176998189184145
0.2,1,9,0.2,1.5504581887374903e-05,2.9625944744537946e-05,2.381804408901347e-07,1.1897356455518177e-06,4.7069399875190625e-09,2.1088011950814306e-08,1.0205990125713052e-07,9.351097266448219e-07,0.00010282124472837175,0.017808568348073813,2.042628237802373e-06,0.0003537817955686712,0.0010402660797762878
0.2,1,11,0.2,2.403051445327322e-05,4.175793761618252e-05,2.9344330500525964e-08,1.3826042819485573e-07,1.0705942080802843e-09,4.768319507959199e-09,1.0206405819375458e-07,9.351099823048524e-07,0.00010282124490004761,0.017808568377807955,2.0426282318325594e-06,0.00035378179453470366,0.0002559821542195265
0.2,1,13,0.2,9.508439352713207e-06,1.5746214828027405e-05,3.892696263046452e-09,2.5143013991993368e-08,2.336024036240653e-10,1.031969471112842e-09,1.0206606108062784e-07,9.351100975027745e-07,0.00010282124646810712,0.017808568649394774,2.04262822993889e-06,0.0003537817942067214,6.305139035713842e-05
0.2,1,15,0.2,2.1967487110836338e-06,3.6295608154546244e-06,3.3697067916499456e-09,1.8909942833822413e-08,4.950649077529014e-11,2.159828264044865e-10,1.0206663858751874e-07,9.351101208752606e-07,0.00010282124712734449,0.017808568763574232,2.0426282294376932e-06,0.0003537817941199145,1.5638092276110325e-05
0.2,1,17,0.2,2.6568414800458027e-07,4.562227857718426e-07,1.155760614552988e-09,6.366152612014009e-09,1.0404742017159876e-11,4.453320576343865e-11,1.020667517391472e-07,9.351101321538191e-07,0.00010282124730478475,0.01780856879430676,2.0426282293220724e-06,0.000353781794099889,3.902734181036805e-06
