Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.03954254217530638,0.06402597553596578,7.134809303815747e-06,4.224002142092821e-05,7.588731271315239e-07,3.4497851200303634e-06,1.0273890733469695e-07,9.351450058801289e-07,0.0001028221762709702,0.01780872969060644,2.042628233030218e-06,0.0003537817947421347,0.15314947955059374
0.2,1,3,0.2,0.005056647660297321,0.0082524356631275,5.4921970455847135e-06,2.8318381789993116e-05,1.0132579567019007e-07,4.571761108412007e-07,1.020453238735933e-07,9.351085479165711e-07,0.00010282128430716193,0.017808575203092845,2.0426282961214458e-06,0.0003537818056694942,0.018315031948548582
0.2,1,5,0.2,5.305687996474641e-05,0.00011169968419366683,6.012536137321728e-07,2.985253512116301e-06,1.2192242208215277e-08,5.4594983120561996e-08,1.0204936986409803e-07,9.351091409442214e-07,0.00010282123415924116,0.01780856651750772,2.042628245214796e-06,0.00035378179685249773,0.002340384636314697
0.2,1,7,0.2,7.338213054192448e-05,0.00012157725877059988,2.0767731381201227e-08,1.3410896468335487e-07,1.2977577364924621e-09,5.749795070917945e-09,1.0206453457273048e-07,9.351100156901014e-07,0.00010282124467499019,0.017808568338828164,2.0426282314672337e-06,0.00035378179447142946,0.00029470040038185
0.2,1,9,0.2,8.348797638422175e-06,1.380833026942696e-05,1.3339311411922744e-08,7.323802636051424e-08,1.285613850043216e-10,5.576818644739429e-10,1.0206673852719394e-07,9.351101384923812e-07,0.000102821247173431,0.01780856877155638,2.042628229505002e-06,0.00035378179413157225,3.785318495823235e-05
0.2,1,11,0.2,3.616449132452173e-07,6.571499984175944e-07,1.5029841536562475e-09,8.346622783553248e-09,1.319457160916917e-11,5.5084962361905826e-11,1.0206679157105342e-07,9.351101297441233e-07,0.00010282124735713454,0.017808568803373708,2.042628229313498e-06,0.0003537817940984039,4.966496650507263e-06
0.2,1,13,0.2,1.9181051836828486e-07,3.1872873762495146e-07,2.6974948049190597e-11,1.2068423886103796e-10,1.441821761568244e-12,5.7322671593142485e-12,1.0206676195913068e-07,9.351101333173807e-07,0.00010282124734340801,0.017808568800996284,2.0426282292951443e-06,0.00035378179409522513,6.623000645081673e-07
0.2,1,15,0.2,1.869082556597416e-08,3.131851222804016e-08,2.453863961697279e-11,1.2019111053640508e-10,1.3893059320381566e-13,5.294160156923619e-13,1.0206675696432684e-07,9.351101367947664e-07,0.00010282124733900912,0.017808568800234396,2.042628229292106e-06,0.00035378179409469886,8.794135033973617e-08
0.2,1,17,0.2,1.1379384943989647e-09,1.5760264204800478e-09,2.5794840914891914e-12,1.3464122178286075e-11,8.623667556615625e-15,3.388099262952027e-14,1.020667567245164e-07,9.351101367856433e-07,0.00010282124733869034,0.017808568800179184,2.0426282292916025e-06,0.00035378179409461163,1.1407263044819928e-08
0.2,1,19,0.2,4.81203280389436e-10,7.49020401258349e-10,1.1585354999028357e-13,6.090752902032648e-13,2.011372869139687e-15,1.1576243436062228e-14,1.020667567590299e-07,9.351101403383957e-07,0.00010282124733871143,0.017808568800182837,2.042628229291324e-06,0.0003537817940945634,1.460576296543204e-09
0.30000000000000004,2,1,0.30000000000000004,0.028004343561744468,0.045006001904349446,9.585223692868396e-06,5.1402958544034816e-05,4.949737811053091e-07,2.0782362943270983e-06,1.0660576665485804e-07,9.353070050160583e-07,0.00010283707695251626,0.017811310478326393,2.042762850401583e-06,0.0003538051103775886,0.07672400155308066
0.30000000000000004,2,3,0.30000000000000004,0.0029752459201126784,0.004845966626064069,3.6793204485722323e-06,1.7840629438631295e-05,6.577958909114065e-08,2.7386413966243024e-07,1.0628849068736326e-07,9.352938881044383e-07,0.00010283659912299064,0.017811227718583636,2.0427628642696543e-06,0.0003538051127795294,0.010191834486438182
0.30000000000000004,2,5,0.30000000000000004,0.00011970230151758839,0.00026845359977833994,2.2145645724498203e-07,9.86352792468545e-07,7.525364058758457e-09,3.0969960796318205e-08,1.0632002928695739e-07,9.352958216862146e-07,0.00010283660081262181,0.017811228011226584,2.042762821336504e-06,0.00035380510534353755,0.0012405633472423413
0.30000000000000004,2,7,0.30000000000000004,5.0252766956458885e-05,8.606052862880631e-05,4.447642703847538e-08,2.4292629794211984e-07,7.45670499458189e-10,3.002024965041098e-09,1.0633130919659814e-07,9.352964001094795e-07,0.00010283661076253383,0.01781122973454445,2.0427628119782634e-06,0.0003538051037226968,0.00013809999978082576
0.30000000000000004,2,9,0.30000000000000004,1.8166975226088344e-06,3.736874253590372e-06,9.011072005160007e-09,4.782855525520269e-08,7.24399229463881e-11,2.800920173421685e-10,1.0633220519325429e-07,9.352964396669593e-07,0.00010283661201502194,0.017811229951474526,2.042762810919036e-06,0.00035380510353923936,1.682573448449673e-05
0.30000000000000004,2,11,0.30000000000000004,8.271079359856723e-07,1.372441769120769e-06,3.37554135047231e-10,1.9975715699616092e-09,7.832977144537117e-12,2.894035683841112e-11,1.0633212450124219e-07,9.352964373804337e-07,0.00010283661200917644,0.01781122995046209,2.0427628108311525e-06,0.000353805103524018,2.28031045814925e-06
0.30000000000000004,2,13,0.30000000000000004,1.1626318547344896e-07,1.911092812889592e-07,1.0077017070351331e-10,4.4767869099293645e-10,8.033504488285091e-13,2.8882655815631875e-12,1.0633210054448439e-07,9.352964300194029e-07,0.00010283661199097625,0.01781122994730983,2.0427628108186905e-06,0.0003538051035218596,3.158418316209829e-07
0.30000000000000004,2,15,0.30000000000000004,3.73348292193748e-09,5.106306488755763e-09,1.2860753031777174e-11,6.342936766101648e-11,5.4887231947294896e-14,2.0249908927417667e-13,1.0633209892434151e-07,9.352964335321847e-07,0.00010283661198937799,0.01781122994703301,2.042762810815589e-06,0.00035380510352132243,3.735578413285009e-08
0.30000000000000004,2,17,0.30000000000000004,2.4514046645679586e-09,3.853635632822261e-09,6.022741040445086e-13,3.045294919012953e-12,1.2202571217279959e-14,6.620461015342805e-14,1.0633209903497283e-07,9.35296429979323e-07,0.0001028366119894759,0.017811229947049968,2.042762810815245e-06,0.0003538051035212628,3.6988684367287184e-09
0.4,3,1,0.4,0.038455598015614365,0.06135695950085207,1.8310870515785445e-05,8.858757576531845e-05,6.206494769050301e-07,2.4371516460330693e-06,1.111783946246836e-07,9.354774182366879e-07,0.0001028515244404637,0.017813812773229038,2.042897968435009e-06,0.00035382851272736245,0.0880073648944804
0.4,3,3,0.4,0.0027244215506283336,0.004472512623458158,4.329568503587802e-06,1.95217949059915e-05,8.056409014726319e-08,3.1305516557533644e-07,1.1092431195451575e-07,9.354690740412944e-07,0.00010285109928666557,0.01781373913688581,2.042897915720317e-06,0.0003538285035972149,0.011457432667791324
0.4,3,5,0.4,0.00037473112165067277,0.0006573499541477901,6.627400390038543e-08,4.0904409728641233e-07,8.33921037376626e-09,3.188750402824945e-08,1.1099168634909168e-07,9.354722813618121e-07,0.00010285114217484202,0.017813746565088256,2.042897845487014e-06,0.0003538284914328555,0.0012857578427550621
