Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.013060689052510285,0.02114743543929798,6.706374239175332e-05,0.00031322024091138493,1.5932322208658702e-06,7.281381669103047e-06,1.0349036183895892e-07,9.351875664971376e-07,0.00010282029097694442,0.017808403158955266,2.042627043406585e-06,0.00035378158869960947,1.001832756926785
0.2,1,3,0.2,0.012480887994783398,0.02021482788305562,2.632499817782812e-05,0.00012055472175103669,8.039999318122807e-07,3.670722233698625e-06,1.0361108865460228e-07,9.351931419909898e-07,0.00010282209951160941,0.017808716395933677,2.0426275995938772e-06,0.00035378168503126566,0.334947878233326
0.2,1,5,0.2,0.008671628973615755,0.014053034014219534,8.26662838739365e-06,3.5768878484755684e-05,4.069232914951954e-07,1.855200816849303e-06,1.0317638138361147e-07,9.351695732351626e-07,0.00010282232015796607,0.01780875461173406,2.042627948186116e-06,0.00035378174540730165,0.1441847396846558
0.2,1,7,0.2,0.005179703451016498,0.008401856133172458,1.4097052425684705e-06,5.48145195016685e-06,2.0620549894390595e-07,9.384800443631709e-07,1.0273411235994976e-07,9.351457438759424e-07,0.00010282206645447896,0.017808710670466254,2.0426281335420427e-06,0.0003537817775108453,0.06769471011162881
0.2,1,9,0.2,0.00279291101818142,0.004537013052381411,1.0652339406759059e-06,6.254083997830201e-06,1.0441909169912414e-07,4.743036297645423e-07,1.0242284654724815e-07,9.351290089336437e-07,0.00010282176389187106,0.01780865826683218,2.0426282174978164e-06,0.0003537817920519339,0.03302390389449076
0.2,1,11,0.2,0.0013815464782498332,0.0022497450795277985,1.251405468751017e-06,6.793902931701359e-06,5.273528849870197e-08,2.390401609159024e-07,1.0223764500060927e-07,9.351190881550572e-07,0.0001028215363964697,0.017808618864786283,2.0426282475347957e-06,0.0003537817972543195,0.01641504265967392
0.2,1,13,0.2,0.0006266437244096956,0.0010247657724242742,9.470452468873007e-07,4.987692760076434e-06,2.6513394501772247e-08,1.199210116313034e-07,1.0213953055479873e-07,9.35113861915961e-07,0.00010282139412267709,0.01780859422306398,2.0426282528955605e-06,0.0003537817981828007,0.008231177605294447
0.2,1,15,0.2,0.0002561763069315158,0.00042234321648138007,5.961545941262827e-07,3.088782395082798e-06,1.3248486204801272e-08,5.97913597439909e-08,1.020927200892923e-07,9.351113955325488e-07,0.00010282131498115369,0.017808580515806968,2.0426282491154023e-06,0.00035378179752808004,0.0041389168746514375
0.2,1,17,0.2,8.97567881644668e-05,0.00015069253992550102,3.342319590153744e-07,1.7118014810670046e-06,6.570784074442914e-09,2.95880031520512e-08,1.0207290209867844e-07,9.351103787610435e-07,0.00010282127499775567,0.017808573590710135,2.04262824335749e-06,0.00035378179653081364,0.0020793258239954035
0.2,1,19,0.2,2.2852388902223638e-05,4.0428153088356567e-05,1.707562827786141e-07,8.654865060915562e-07,3.2311949774368656e-09,1.4516511188803535e-08,1.0206588672895565e-07,9.351100355672413e-07,0.00010282125666640094,0.017808570415732198,2.0426282383430613e-06,0.00035378179566231805,0.0010415995862126006
0.2,1,21,0.2,3.384958446495479e-06,9.889044264355107e-06,7.97083676636672e-08,3.992771739590173e-07,1.574300756780067e-09,7.055699554182979e-09,1.0206425835470373e-07,9.351099726625146e-07,0.00010282124921711595,0.017808569125521197,2.0426282347347162e-06,0.0003537817950373552,0.0005198990646647255
0.2,1,23,0.2,6.324600666688512e-06,1.2314546406599902e-05,3.3480432285559686e-08,1.649695278143487e-07,7.596565861643721e-10,3.395797182321027e-09,1.0206452058911593e-07,9.351099959282097e-07,0.0001028212467304868,0.017808568694838753,2.0426282323985405e-06,0.0003537817946327312,0.00025866324489273203
0.2,1,25,0.2,5.575048677837251e-06,9.7048245280007e-06,1.2056840871224127e-08,5.7763104892999406e-08,3.6301756961819895e-10,1.6180633303488831e-09,1.0206521170868926e-07,9.351100378211498e-07,0.00010282124624727262,0.017808568611146394,2.042628230990687e-06,0.0003537817943888919,0.00012842766214122233
0.2,1,27,0.2,3.7133002780590323e-06,6.248219630577978e-06,3.1760950830173396e-09,1.4566262118362316e-08,1.7185113927065675e-10,7.634377928011221e-10,1.0206582351014897e-07,9.351100720526997e-07,0.00010282124642533188,0.01780856864198613,2.0426282301870218e-06,0.00035378179424969765,6.373489918785267e-05
0.2,1,29,0.2,2.1326781010480674e-06,3.541912857230045e-06,5.149782448517155e-10,3.096782288936062e-09,8.064831311457148e-11,3.568637534459053e-10,1.0206624374290425e-07,9.351101033759019e-07,0.00010282124672664997,0.01780856869417422,2.042628229748401e-06,0.00035378179417372885,3.165757077482634e-05
