Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.03599003475313373,0.05827387309654952,8.09178451767168e-06,3.097149292209797e-05,9.309309898803141e-07,4.239204216174337e-06,1.0318842257620051e-07,9.351692651781695e-07,0.00010282260446904985,0.017808803854217167,2.04262808807184e-06,0.00035378176963543904,0.20808548482167705
0.2,1,3,0.2,0.007898363824962451,0.012839424893765994,6.0236267355221275e-06,3.1785364604991484e-05,1.6409985407805506e-07,7.427757828021482e-07,1.0215908018047222e-07,9.351145441626661e-07,0.00010282144999305973,0.017808603899775538,2.0426282908906717e-06,0.00035378180476352763,0.031137116244459858
0.2,1,5,0.2,0.0007417237506967205,0.0012348514615041495,1.5609142297909892e-06,7.945716929226576e-06,2.7487620901439282e-08,1.2364157367145308e-07,1.0204897441129566e-07,9.351090127253607e-07,0.00010282124952552974,0.017808569178938253,2.0426282581393017e-06,0.0003537817990910132,0.005278592766363326
0.2,1,7,0.2,5.5269409022385605e-05,0.00011086352098743646,1.688676234254449e-07,8.2323296571752e-07,4.254382826347084e-09,1.9006066480191375e-08,1.0205919100363927e-07,9.351096956056219e-07,0.0001028212411761114,0.01780856773282478,2.0426282363448484e-06,0.00035378179531622895,0.000882400216296112
0.2,1,9,0.2,3.01414669076399e-05,4.992666608316654e-05,1.0188424892401006e-08,6.554424463074693e-08,6.075205253667562e-10,2.6874899558646404e-09,1.0206546837983886e-07,9.35110062100081e-07,0.00010282124576436224,0.01780856852750665,2.0426282305314444e-06,0.0003537817943093514,0.00014657074799948435
0.2,1,11,0.2,4.56832682993189e-06,7.552261159560203e-06,7.273957450774972e-09,4.024601608920708e-08,8.244294183048864e-11,3.583983692505635e-10,1.0206667689223727e-07,9.351101349675717e-07,0.00010282124714322983,0.01780856876632556,2.0426282294659303e-06,0.0003537817941248051,2.4665396565799352e-05
0.2,1,13,0.2,1.2065207296273e-07,2.07594498036201e-07,1.3909692186692827e-09,7.659922581643164e-09,1.125626742261517e-11,4.749806193434132e-11,1.0206677561660176e-07,9.351101364125659e-07,0.00010282124733689831,0.017808568799868807,2.042628229314827e-06,0.00035378179409863413,4.205507455974469e-06
0.2,1,15,0.2,1.2799172521707814e-07,2.1582224540850348e-07,1.1082242189012435e-10,6.443524255828059e-10,1.6088874731972226e-12,6.519607052032743e-12,1.020667634233732e-07,9.351101368414828e-07,0.0001028212473433883,0.017808568800992866,2.0426282292952985e-06,0.0003537817940952518,7.266737658459765e-07
0.2,1,17,0.2,2.9698634707610678e-08,4.934670982947864e-08,1.4228918459771901e-11,6.012590512277649e-11,2.2917205788909503e-13,8.899448560896472e-13,1.0206675778104759e-07,9.351101332541279e-07,0.00010282124733974238,0.017808568800361396,2.042628229292297e-06,0.000353781794094732,1.2618291703130303e-07
0.2,1,19,0.2,2.760838132020167e-09,4.682947363221501e-09,5.735693630530719e-12,2.8420482980906492e-11,2.7915894018831852e-14,1.0646335429995851e-13,1.0206675682226194e-07,9.3511012968333e-07,0.00010282124733882208,0.017808568800202002,2.042628229291495e-06,0.00035378179409459304,2.175198123146583e-08
0.2,1,21,0.2,3.253849914991662e-10,4.545412934930937e-10,7.994015389509054e-13,4.194177991023729e-12,2.544714742360465e-15,9.7767117752251e-15,1.0206675675204299e-07,9.351101296804745e-07,0.0001028212473387128,0.017808568800183073,2.0426282292912827e-06,0.0003537817940945563,3.6856743068312354e-09
0.4,2,1,0.4,0.06200990816337727,0.09915577957647592,1.3834190551773157e-05,7.266143962686607e-05,1.3601795762980499e-06,5.503664719349189e-06,1.1208273495020929e-07,9.355139901824938e-07,0.00010285257391572734,0.01781399454161757,2.0428978533086047e-06,0.0003538284927875433,0.17145984766093167
0.4,2,3,0.4,0.009908869352063733,0.015997205287400007,1.1346208165207065e-05,5.22635289032132e-05,2.4019595342233177e-07,9.62803192437983e-07,1.109493369576123e-07,9.35469616910444e-07,0.00010285119384908053,0.017813755515030543,2.042898019602786e-06,0.00035382852158958645,0.028851304042574525
0.4,2,5,0.4,0.00015310279121679663,0.0004276693915468144,1.4912604541852602e-06,6.570386219002973e-06,3.733266067966437e-08,1.4847264923675135e-07,1.109538962443673e-07,9.354705882984658e-07,0.00010285111325387593,0.017813741555996968,2.042897888636348e-06,0.00035382849890629024,0.004632653146408773
0.4,2,7,0.4,0.0002642539213633878,0.0004293743395678007,1.0296117850084709e-07,5.72239412304984e-07,5.0056496679362315e-09,1.9708248766140725e-08,1.1099561084920638e-07,9.354724629144308e-07,0.00010285114556685066,0.017813747152581803,2.042897842644653e-06,0.00035382849094056054,0.0006529704572036164
