Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.03954254217530638,0.06402597553596578,7.134809303815747e-06,4.224002142092821e-05,7.588731271315239e-07,3.4497851200303634e-06,1.0273890733469695e-07,9.351450058801289e-07,0.0001028221762709702,0.01780872969060644,2.042628233030218e-06,0.0003537817947421347,0.15314947955059374
0.2,1,3,0.2,0.005056647660297321,0.0082524356631275,5.4921970455847135e-06,2.8318381789993116e-05,1.0132579567019007e-07,4.571761108412007e-07,1.020453238735933e-07,9.351085479165711e-07,0.00010282128430716193,0.017808575203092845,2.0426282961214458e-06,0.0003537818056694942,0.018315031948548582
0.2,1,5,0.2,5.305687996474641e-05,0.00011169968419366683,6.012536137321728e-07,2.985253512116301e-06,1.2192242208215277e-08,5.4594983120561996e-08,1.0204936986409803e-07,9.351091409442214e-07,0.00010282123415924116,0.01780856651750772,2.042628245214796e-06,0.00035378179685249773,0.002340384636314697
0.2,1,7,0.2,7.338213054192448e-05,0.00012157725877059988,2.0767731381201227e-08,1.3410896468335487e-07,1.2977577364924621e-09,5.749795070917945e-09,1.0206453457273048e-07,9.351100156901014e-07,0.00010282124467499019,0.017808568338828164,2.0426282314672337e-06,0.00035378179447142946,0.00029470040038185
0.2,1,9,0.2,8.348797638422175e-06,1.380833026942696e-05,1.3339311411922744e-08,7.323802636051424e-08,1.285613850043216e-10,5.576818644739429e-10,1.0206673852719394e-07,9.351101384923812e-07,0.000102821247173431,0.01780856877155638,2.042628229505002e-06,0.00035378179413157225,3.785318495823235e-05
0.2,1,11,0.2,3.616449132452173e-07,6.571499984175944e-07,1.5029841536562475e-09,8.346622783553248e-09,1.319457160916917e-11,5.5084962361905826e-11,1.0206679157105342e-07,9.351101297441233e-07,0.00010282124735713454,0.017808568803373708,2.042628229313498e-06,0.0003537817940984039,4.966496650507263e-06
0.2,1,13,0.2,1.9181051836828486e-07,3.1872873762495146e-07,2.6974948049190597e-11,1.2068423886103796e-10,1.441821761568244e-12,5.7322671593142485e-12,1.0206676195913068e-07,9.351101333173807e-07,0.00010282124734340801,0.017808568800996284,2.0426282292951443e-06,0.00035378179409522513,6.623000645081673e-07
0.2,1,15,0.2,1.869082556597416e-08,3.131851222804016e-08,2.453863961697279e-11,1.2019111053640508e-10,1.3893059320381566e-13,5.294160156923619e-13,1.0206675696432684e-07,9.351101367947664e-07,0.00010282124733900912,0.017808568800234396,2.042628229292106e-06,0.00035378179409469886,8.794135033973617e-08
0.2,1,17,0.2,1.1379384943989647e-09,1.5760264204800478e-09,2.5794840914891914e-12,1.3464122178286075e-11,8.623667556615625e-15,3.388099262952027e-14,1.020667567245164e-07,9.351101367856433e-07,0.00010282124733869034,0.017808568800179184,2.0426282292916025e-06,0.00035378179409461163,1.1407263044819928e-08
0.2,1,19,0.2,4.81203280389436e-10,7.49020401258349e-10,1.1585354999028357e-13,6.090752902032648e-13,2.011372869139687e-15,1.1576243436062228e-14,1.020667567590299e-07,9.351101403383957e-07,0.00010282124733871143,0.017808568800182837,2.042628229291324e-06,0.0003537817940945634,1.460576296543204e-09
0.4,2,1,0.4,0.06813078748134895,0.10894325674635041,3.291752883340414e-05,0.0001572672328132088,1.1253068899177095e-06,4.538420579205444e-06,1.1136881770353262e-07,9.354849503529942e-07,0.00010285181403065679,0.017813862930049766,2.042898122117511e-06,0.00035382853934506366,0.13502788251679693
0.4,2,3,0.4,0.004286051408968784,0.007064319701118649,7.695338469637378e-06,3.477545441533513e-05,1.4464038063949053e-07,5.773951222301597e-07,1.1086956378156363e-07,9.354667528920361e-07,0.00010285105730690958,0.01781373186602115,2.0428979870661177e-06,0.00035382851595425815,0.016917583841386873
0.4,2,5,0.4,0.0007550200086158363,0.0012366406182167111,1.121053850725147e-07,7.107836104587595e-07,1.4782094329405662e-08,5.8464760244224603e-08,1.109836972491858e-07,9.354719715696672e-07,0.00010285113318089633,0.017813745007343094,2.042897855412749e-06,0.0003538284931519859,0.001791706268005754
0.4,2,7,0.4,0.00010004716373533512,0.0001615883688366182,1.4581703926218282e-07,7.148365805415696e-07,1.3105848987705817e-09,5.0622694693905e-09,1.1100412201487065e-07,9.354728305681582e-07,0.00010285115458356098,0.017813748714269783,2.042897835082459e-06,0.00035382848963079374,0.00020881364304605504
0.4,2,9,0.4,8.630670962871679e-06,1.462212253855455e-05,1.01476412273963e-08,5.212006599746022e-08,1.3275631399498785e-10,4.854385015165032e-10,1.1100389716971027e-07,9.35472801296941e-07,0.00010285115519760971,0.0178137488206226,2.042897833536838e-06,0.00035382848936309333,2.442045407846411e-05
0.4,2,11,0.4,2.3079336751664803e-06,3.7690811431900784e-06,1.5212399939902675e-09,6.418574605843164e-09,1.4455326595269769e-11,4.952650784059362e-11,1.1100354335836913e-07,9.354727891759671e-07,0.00010285115493056121,0.017813748774369982,2.04289783338319e-06,0.0003538284893364816,3.7601495150517198e-06
0.4,2,13,0.4,4.0040355893999585e-08,7.388733358482114e-08,2.2977562752271468e-10,1.054873032674264e-09,8.537822008630896e-13,2.9899388086923606e-12,1.1100351794276903e-07,9.354727814873337e-07,0.00010285115490576692,0.01781374877007563,2.042897833339927e-06,0.00035382848932898845,4.430333443517176e-07
0.4,2,15,0.4,4.409932077277916e-08,6.771821858819749e-08,1.3282285813481727e-11,5.949009427436147e-11,2.05553643018416e-13,1.0197466514868386e-12,1.1100352054288437e-07,9.354727815007687e-07,0.0001028511549081408,0.017813748770486783,2.0428978333311196e-06,0.00035382848932746303,4.3727428868461156e-08
0.4,2,17,0.4,3.3278376452067026e-09,4.925876595507361e-09,4.494109888465982e-12,1.9221872357699787e-11,5.342115754284739e-14,2.469839382925748e-13,1.1100352085287669e-07,9.354727850607302e-07,0.000102851154908515,0.017813748770551596,2.0428978333300587e-06,0.00035382848932727926,8.71810076823534e-09
0.4,2,19,0.4,4.459417224880503e-10,7.281339975406809e-10,1.143150905211411e-13,6.464221519175695e-13,8.358816179569378e-15,3.847603117189402e-14,1.1100352079700403e-07,9.354727850602533e-07,0.00010285115490847608,0.017813748770544854,2.042897833330113e-06,0.00035382848932728864,7.367616461643529e-10
0.6000000000000001,3,1,0.6000000000000001,0.1427072471523275,0.22378518714196893,0.00010934076308474466,0.0004327178444683867,2.042834315898837e-06,6.950394608216986e-06,1.2058650406195024e-07,9.357518564146102e-07,0.00010287619705304865,0.017818086052634127,2.0431719082000373e-06,0.0003538759589048669,0.20355665316756344
0.6000000000000001,3,3,0.6000000000000001,0.009217653011056572,0.014570442132566086,1.251176649981988e-06,4.632955766204969e-06,1.931524991609668e-07,6.539825363294325e-07,1.2139520329615713e-07,9.357799249333319e-07,0.00010287676710068057,0.017818184784489467,2.0431705102869576e-06,0.0003538757167872921,0.01682820922335318
0.6000000000000001,3,5,0.6000000000000001,0.0016618625292812291,0.0025710510939536135,2.085216612841885e-06,8.737485084037155e-06,1.1806845087576035e-08,3.916735773554355e-08,1.2162445581476646e-07,9.357868490252245e-07,0.00010287699144960107,0.01781822364156706,2.0431702527068416e-06,0.00035387567217459444,0.0024376666219511327
