Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.038638742492958844,0.06256257300359813,4.38348614177402e-06,2.5605080022375604e-05,8.037405239784589e-07,3.655636155370357e-06,1.0285983302996579e-07,9.35151534469238e-07,0.00010282229839191597,0.017808750841869638,2.042628196418637e-06,0.00035378178840103343,0.16636425217925685
0.2,1,3,0.2,0.005827402669953604,0.009496257488741833,5.790601098164864e-06,3.0007759456837993e-05,1.1608719611623004e-07,5.242570781960353e-07,1.0206721392362466e-07,9.35109690226494e-07,0.00010282131888561176,0.017808581192056396,2.042628296939618e-06,0.0003537818058112011,0.02119894843162898
0.2,1,5,0.2,0.00017475384474060525,0.00031349734205754487,8.299590473610582e-07,4.158353016011154e-06,1.5370848941294324e-08,6.891915071293884e-08,1.0204741256458077e-07,9.351090175549823e-07,0.00010282123505263394,0.017808566672242728,2.042628248513838e-06,0.0003537817974238895,0.002936139712564698
0.2,1,7,0.2,7.911714633182064e-05,0.00013285104531135516,1.3495551216942247e-08,6.549802049077985e-08,1.8208678354471644e-09,8.08975566521158e-09,1.0206334149683097e-07,9.351099542596421e-07,0.00010282124363404376,0.017808568158536965,2.0426282324013294e-06,0.0003537817946332142,0.00039875954168911137
0.2,1,9,0.2,1.3405911094958419e-05,2.2058602045404996e-05,1.586720380576405e-08,8.799493966121785e-08,1.9865078291507952e-10,8.677935568485867e-10,1.0206657474278672e-07,9.351101301592478e-07,0.00010282124695346558,0.017808568733458523,2.042628229650411e-06,0.00035378179415675707,5.494358595278991e-05
0.2,1,11,0.2,3.3372030952722264e-07,6.067647397856035e-07,2.7197382633618833e-09,1.4952539033330492e-08,2.1696509990422426e-11,9.181118121618856e-11,1.0206679408624248e-07,9.351101328090334e-07,0.00010282124734442085,0.017808568801171706,2.042628229328934e-06,0.0003537817941010775,7.708019065967973e-06
0.2,1,13,0.2,2.4435902848580613e-07,4.1001621653435905e-07,1.3136346582210266e-10,7.849928779918303e-10,2.529844944856062e-12,1.0234075712529586e-11,1.0206676637075551e-07,9.351101404457954e-07,0.00010282124734619393,0.0178085688014788,2.042628229297101e-06,0.000353781794095564,1.1010166351134747e-06
0.2,1,15,0.2,4.1851522795571616e-08,6.953798248332532e-08,3.016159600013443e-11,1.402251301185764e-10,2.8757717470146505e-13,1.1099020465719922e-12,1.0206675764852555e-07,9.351101403607245e-07,0.00010282124733969131,0.017808568800352552,2.0426282292924305e-06,0.0003537817940947551,1.579610449662875e-07
0.2,1,17,0.2,1.4972621101606262e-09,2.560787137895204e-09,6.390628395032838e-12,3.226852118842771e-11,2.462217939519476e-14,9.527596674932179e-14,1.0206675674600194e-07,9.351101332343926e-07,0.00010282124733872553,0.01780856880018528,2.042628229291491e-06,0.00035378179409459233,2.2302067085759513e-08
0.2,1,19,0.2,6.848103942255104e-10,1.0496776781110384e-09,3.3004555400164777e-13,1.94034371903129e-12,2.4739855360519947e-15,1.3520028195948552e-14,1.0206675674992432e-07,9.351101367856369e-07,0.00010282124733870057,0.017808568800180957,2.0426282292913047e-06,0.00035378179409456013,3.0976263967986723e-09
0.4,2,1,0.4,0.06657356377664252,0.10645320741413045,2.7861400330436803e-05,0.00013522090261171467,1.1865655558983253e-06,4.790157816798814e-06,1.1155884397071552e-07,9.354926910850678e-07,0.00010285202031583328,0.017813898658499423,2.042898053947932e-06,0.00035382852753813903,0.14388882384468668
