Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.04231663253033423,0.06851769082359205,1.772130797238754e-05,9.541624790237145e-05,6.168666461683484e-07,2.798281649023178e-06,1.023419302582969e-07,9.351235287407783e-07,0.00010282174907226904,0.017808655700087352,2.042628344352991e-06,0.0003537818140231635,0.11556856789340339
0.2,1,3,0.2,0.002493152550936894,0.004119671824026838,3.8647779598241e-06,1.9625690754213054e-05,6.125301017810154e-08,2.754379691779802e-07,1.0201035555997053e-07,9.35106832846884e-07,0.00010282121546655742,0.017808563279947846,2.0426282847324233e-06,0.0003537818036969234,0.010871954601158642
0.2,1,5,0.2,0.000236741716642869,0.0004003875547979874,5.1537738015804414e-08,2.447002019545161e-07,5.083513259827191e-09,2.2635792428383344e-08,1.0205901489361075e-07,9.351097136857104e-07,0.00010282123913604724,0.01780856737948708,2.042628236201421e-06,0.0003537817952913875,0.0010390872160806726
0.2,1,7,0.2,3.2501194688459066e-05,5.335954091023609e-05,3.857154305609535e-08,2.1102335031296382e-07,3.70643817260193e-10,1.616600054857439e-09,1.0206676257956515e-07,9.35110136819241e-07,0.0001028212470364923,0.017808568747838694,2.0426282297775173e-06,0.00035378179417877174,0.00010171477767703693
0.2,1,9,0.2,1.0901864062554056e-06,1.953267748433518e-06,3.042053920138368e-09,1.6970770341101504e-08,2.8647147774752083e-11,1.19737363497548e-10,1.0206683324664318e-07,9.351101408703709e-07,0.00010282124739060907,0.017808568809171473,2.0426282293292963e-06,0.00035378179410114016,1.0296951535490174e-05
0.2,1,11,0.2,4.0935846859033983e-07,6.77229934353818e-07,1.6816783578002092e-10,7.389349340747309e-10,2.405224960024461e-12,9.516458435621274e-12,1.02066762198726e-07,9.351101262411181e-07,0.00010282124734411504,0.017808568801118738,2.0426282292979294e-06,0.00035378179409570744,1.065341588067505e-06
0.2,1,13,0.2,1.3206296941515998e-08,2.2746528216543993e-08,3.4960361299065047e-11,1.7542726472863368e-10,1.459667894443204e-13,5.576532752281718e-13,1.0206675653915112e-07,9.351101367869839e-07,0.00010282124733855695,0.017808568800156084,2.0426282292922873e-06,0.0003537817940947303,1.0808429047409621e-07
0.2,1,15,0.2,3.696250149716371e-09,5.7401692288294726e-09,2.782095436647502e-13,2.0977716091996612e-12,1.0022442292700986e-14,5.749394016429932e-14,1.0206675672424315e-07,9.351101332322824e-07,0.00010282124733867237,0.01780856880017607,2.0426282292912527e-06,0.0003537817940945511,1.0609245377185096e-08
0.2,1,17,0.2,3.793978709252675e-10,5.876152897599241e-10,3.4550703289830783e-13,1.675562466552094e-12,2.71122683499436e-15,1.462266180536631e-14,1.0206675676532438e-07,9.351101332330516e-07,0.00010282124733872583,0.01780856880018533,2.042628229291341e-06,0.00035378179409456637,1.0390707850958592e-09
0.4,2,1,0.4,0.07291047410984705,0.11658612492388087,4.897157075354447e-05,0.00022685731556073424,9.313944884292975e-07,3.7416068493959062e-06,1.1075263587295942e-07,9.35459777407474e-07,0.00010285112916606854,0.01781374431197757,2.0428983304951382e-06,0.0003538285754359258,0.10938865059118363
0.4,2,3,0.4,0.0008730397736502773,0.001960646370632091,2.8155781554516886e-06,1.2220761402203725e-05,8.127593202927641e-08,3.2339380284375865e-07,1.1090113627139847e-07,9.354684332836871e-07,0.00010285105770334096,0.0178137319346828,2.0428979303930723e-06,0.00035382850613852594,0.00928858851768575
0.4,2,5,0.4,0.0006113530229757703,0.000979497040850319,5.537117201024106e-07,2.699576301390394e-06,5.1849297693866185e-09,2.0300481587301293e-08,1.1100491056064158e-07,9.354729011083152e-07,0.00010285115378214043,0.0178137485754643,2.042897838544692e-06,0.00035382849023045013,0.0007859533519280341
0.4,2,7,0.4,2.5519013181444266e-05,4.3460850452703426e-05,2.998145717843513e-08,1.5366906302299865e-07,3.9730731010398147e-10,1.4733017966695686e-09,1.110045109276624e-07,9.354728318986422e-07,0.00010285115570712754,0.017813748908870733,2.042897833774507e-06,0.00035382848940425745,6.598145222537691e-05
0.4,2,9,0.4,6.2694782747199785e-06,1.0207031092335228e-05,4.904870435762562e-09,2.138504803968211e-08,3.428983410630421e-11,1.1848826969227105e-10,1.1100351999573106e-07,9.354727801378103e-07,0.00010285115490865969,0.017813748770576655,2.0428978334479784e-06,0.00035382848934770286,8.764824765683515e-06
0.4,2,11,0.4,3.601866979081241e-07,5.378545147038949e-07,1.665779605642203e-10,8.204359171204434e-10,1.0175902034131952e-12,3.2814859363865592e-12,1.1100351531984681e-07,9.354727849686192e-07,0.00010285115490242241,0.017813748769496363,2.0428978333432284e-06,0.00035382848932956026,6.152068282295374e-07
0.4,2,13,0.4,6.769491877877501e-08,1.0419351959001233e-07,5.2271940958038737e-11,2.2800864755284644e-10,4.0390166181986253e-13,1.8991748549235937e-12,1.1100352131902895e-07,9.354727832877428e-07,0.00010285115490888495,0.01781374877061567,2.0428978333305284e-06,0.00035382848932736063,8.62293566658201e-08
0.4,2,15,0.4,3.222268091148169e-09,5.270202052543027e-09,9.46332036114756e-13,4.168075173199837e-12,5.53723435116483e-14,2.5717457135220056e-13,1.1100352086155591e-07,9.354727797326452e-07,0.00010285115490853989,0.017813748770555905,2.042897833330084e-06,0.00035382848932728365,5.514678057103818e-09
0.4,2,17,0.4,5.313567395239805e-10,8.630660630615239e-10,6.265628293107472e-13,3.129977180216237e-12,6.479627130159331e-15,3.0133339400106873e-14,1.110035207796293e-07,9.354727832836127e-07,0.00010285115490845506,0.017813748770541215,2.0428978333301184e-06,0.0003538284893272896,7.130154993439471e-10
0.6000000000000001,3,1,0.6000000000000001,0.15271881386147382,0.23948474252010143,0.0001383084199985513,0.0005419957046243588,1.7699435604156423e-06,5.972735762508268e-06,1.1941645705443087e-07,9.357164058904005e-07,0.0001028749940664608,0.01781787769619065,2.043172407322124e-06,0.0003538760453524677,0.17704679570529716
0.6000000000000001,3,3,0.6000000000000001,0.022129552209884065,0.03434791325454434,1.526007777649015e-05,6.31221498848672e-05,5.2280988729588454e-08,1.8356325568025093e-07,1.2173235815368579e-07,9.357908078535157e-07,0.00010287707056864954,0.01781823734493143,2.043170232739642e-06,0.00035387566871628934,0.016937664941855616
0.6000000000000001,3,5,0.6000000000000001,0.0015759655461694904,0.0024883113862426143,4.6549129376784267e-07,1.6690700640267786e-06,8.041253823444266e-09,2.5313039395905707e-08,1.216060620803606e-07,9.357862112900212e-07,0.00010287697893709277,0.017818221474409292,2.0431702574089837e-06,0.00035387567298900217,0.0010350118839442264
0.6000000000000001,3,7,0.6000000000000001,1.3787488512859942e-05,1.8855486727531456e-05,7.069110161323727e-08,2.82468034488656e-07,3.8034324132725685e-10,1.0553720732075535e-09,1.2159879090399417e-07,9.357858641700929e-07,0.00010287697310375419,0.01781822046407909,2.043170247742014e-06,0.0003538756713146898,0.00010118356481665318
0.6000000000000001,3,9,0.6000000000000001,1.8786894469743447e-05,2.8786981461692562e-05,1.4605505524105677e-08,5.619355638187412e-08,9.766341392745233e-11,3.617969323113125e-10,1.2160034986611925e-07,9.357858986713173e-07,0.00010287697461232365,0.017818220725362276,2.043170245358512e-06,0.00035387567090186886,1.8992511045615457e-05
0.6000000000000001,3,11,0.6000000000000001,2.191784797266123e-06,3.443285281790054e-06,1.4278049651636664e-09,6.038625271695408e-09,5.547478844695513e-12,2.3387745082606437e-11,1.2160012363195916e-07,9.357858923599467e-07,0.00010287697441024502,0.0178182206903624,2.043170245415632e-06,0.00035387567091176204,1.5875363764677662e-06
0.6000000000000001,3,13,0.6000000000000001,1.289555896378158e-07,1.983408246530871e-07,2.457642759272245e-11,8.76718688966327e-11,1.4377571163453257e-12,5.426826197620083e-12,1.216001339152536e-07,9.357858906021136e-07,0.00010287697441692578,0.0178182206915195,2.043170245399188e-06,0.00035387567090891395,9.705740896179141e-08
0.6000000000000001,3,15,0.6000000000000001,4.511004617208886e-09,6.956023312909565e-09,9.400852122913706e-12,3.752745683649472e-11,1.864760325704057e-13,6.879866956081143e-13,1.216001350427526e-07,9.357858941715204e-07,0.00010287697441782859,0.01781822069167587,2.0431702453985533e-06,0.000353875670908804,1.2778143225348556e-08
0.6000000000000001,3,17,0.6000000000000001,2.036783860361912e-09,3.151157557113038e-09,1.4876239008065333e-12,5.7394583877212746e-12,1.1090507822214254e-14,4.3906068017407485e-14,1.2160013487548324e-07,9.357858941693313e-07,0.0001028769744176686,0.017818220691648158,2.043170245398423e-06,0.0003538756709087814,2.1161125103228207e-09
0.8,4,1,0.8,0.4171495312535999,0.6317073762371508,0.0004433219552673941,0.0013995144970378962,6.469504632920871e-06,1.6002456742539854e-05,1.2302413857595842e-07,9.357875728802276e-07,0.00010288702323264056,0.017819961139437762,2.0434628199049987e-06,0.0003539263446106112,0.41963790113695093
0.8,4,3,0.8,0.18120511046084267,0.2700760613093234,0.00017189017902152133,0.0005750481132027136,1.6168334012302135e-06,3.860673669638256e-06,1.3744550735339425e-07,9.361146779667653e-07,0.00010289985636759638,0.017822183829521727,2.0434471783035622e-06,0.00035392363549608064,0.22168598158853273
0.8,4,5,0.8,0.06099299321837127,0.09106831620314626,6.165955809380403e-05,0.00020227559665212617,5.304658715287249e-07,1.2674914126137803e-06,1.3203601412253632e-07,9.359941502482526e-07,0.00010289545654697146,0.017821421783638183,2.0434518820758943e-06,0.0003539244501861896,0.07015044134447587
0.8,4,7,0.8,0.02305242746910113,0.034511702519883336,2.2554935747076865e-05,7.402318675716821e-05,2.1386215825320833e-07,5.118128491377939e-07,1.3395389061309458e-07,9.360359531744715e-07,0.00010289707778809407,0.017821702581477382,2.043450061629415e-06,0.0003539241348861207,0.027354054067215222
